description_clean,category,model,ts
pos purchase fpos a&w vanco,Other,gpt-4.1-mini,2025-09-24T22:37:49.391153+00:00
pos purchase apos tst jerusalem s vanco,Other,gpt-4.1-mini,2025-09-24T22:37:49.391153+00:00
pos purchase apos a w granv vanco,Other,gpt-4.1-mini,2025-09-24T22:37:49.391153+00:00
pos purchase apos shoprite smoke vanco,Other,gpt-4.1-mini,2025-09-24T22:37:49.391153+00:00
pos purchase apos starbucks coffe vanco,Other,gpt-4.1-mini,2025-09-24T22:37:49.391153+00:00
pos purchase apos tim hortons vanco,Other,gpt-4.1-mini,2025-09-24T22:37:49.391153+00:00
pos purchase apos global harbor c burna,Other,gpt-4.1-mini,2025-09-24T22:37:49.391153+00:00
pos purchase apos the north face richm,Other,gpt-4.1-mini,2025-09-24T22:37:49.391153+00:00
pos purchase apos la pache pizza vanco,Other,gpt-4.1-mini,2025-09-24T22:37:49.391153+00:00
pos purchase apos tst good co. gr vanco,Other,gpt-4.1-mini,2025-09-24T22:37:49.391153+00:00
pos purchase apos nayax canada in,Other,gpt-4.1-mini,2025-09-24T22:37:49.391153+00:00
pos purchase apos ls kinton ramen vanco,Other,gpt-4.1-mini,2025-09-24T22:37:49.391153+00:00
pos purchase apos h mart downtown vanco,Other,gpt-4.1-mini,2025-09-24T22:37:49.391153+00:00
pos purchase apos ann trading g vanco,Other,gpt-4.1-mini,2025-09-24T22:37:49.391153+00:00
pos purchase apos stuart's vanco,Other,gpt-4.1-mini,2025-09-24T22:37:49.391153+00:00
pos purchase apos g and a robot,Other,gpt-4.1-mini,2025-09-24T22:37:49.391153+00:00
pos purchase apos a w cambie vanco,Other,gpt-4.1-mini,2025-09-24T22:37:49.391153+00:00
pos purchase apos mcdonald's vanco,Other,gpt-4.1-mini,2025-09-24T22:37:49.391153+00:00
pos purchase fpos tim hortons vanco,Other,gpt-4.1-mini,2025-09-24T22:37:49.391153+00:00
pos purchase apos hellcrust pizza north,Other,gpt-4.1-mini,2025-09-24T22:37:49.391153+00:00
pos purchase apos mcdonald's north,Other,gpt-4.1-mini,2025-09-24T22:37:49.391153+00:00
pos purchase opos temu.com www.t,Other,gpt-4.1-mini,2025-09-24T22:37:49.391153+00:00
pos purchase apos starbucks north,Other,gpt-4.1-mini,2025-09-24T22:37:49.391153+00:00
pos purchase opos cfs safecheck calga,Other,gpt-4.1-mini,2025-09-24T22:37:49.391153+00:00
pos purchase apos n s h enterpris vanco,Other,gpt-4.1-mini,2025-09-24T22:37:49.391153+00:00
pos purchase apos vapes and conve vanco,Other,gpt-4.1-mini,2025-09-24T22:37:49.391153+00:00
pos purchase apos sansho sushi n van,Other,gpt-4.1-mini,2025-09-24T22:37:49.391153+00:00
pos purchase apos mr. supreme sha richm,Other,gpt-4.1-mini,2025-09-24T22:37:49.391153+00:00
pos purchase apos a w denman vanco,Other,gpt-4.1-mini,2025-09-24T22:37:49.391153+00:00
pos purchase apos ls konbiniya ja vanco,Other,gpt-4.1-mini,2025-09-24T22:37:49.391153+00:00
pos purchase apos sq brazilliant vanco,Other,gpt-4.1-mini,2025-09-24T22:37:49.391153+00:00
pos purchase apos sq whatafood new w,Other,gpt-4.1-mini,2025-09-24T22:37:49.391153+00:00
pos purchase apos sq kaisereck d vanco,Other,gpt-4.1-mini,2025-09-24T22:37:49.391153+00:00
pos purchase apos sq emeri goods vanco,Other,gpt-4.1-mini,2025-09-24T22:37:49.391153+00:00
pos purchase apos the old spaghet vanco,Other,gpt-4.1-mini,2025-09-24T22:37:49.391153+00:00
