Filter,Date,Description,Sub-description,Type of Transaction,Amount,Balance
"All available transactions (up to 2 years), From date=2025-05-08","2025-10-01","customer transfer dr.","Mb-Transfer ","Debit","-464.52","1033.87"
"","2025-10-01","deposit","Free Interac E-Transfer ","Credit","464.52","1498.39"
"","2025-10-01","customer transfer dr.","Mb-Transfer ","Debit","-150.00","1033.87"
"","2025-10-01","customer transfer dr.","Mb-Transfer ","Debit","-1200.00","1183.87"
"","2025-09-29","interest"," ","Credit","0.02","2383.87"
"","2025-09-23","customer transfer dr.","Mb-Transfer ","Debit","-55.53","2383.85"
"","2025-09-19","deposit","Free Interac E-Transfer ","Credit","24.00","2439.38"
"","2025-09-19","deposit","Free Interac E-Transfer ","Credit","11.53","2415.38"
"","2025-09-19","customer transfer dr.","Mb-Transfer ","Debit","-435.00","2403.85"
"","2025-09-17","deposit","Free Interac E-Transfer ","Credit","434.72","2838.85"
"","2025-09-08","customer transfer dr.","Mb-Transfer ","Debit","-424.00","2404.13"
"","2025-09-04","deposit","Free Interac E-Transfer ","Credit","423.19","2828.13"
"","2025-09-02","customer transfer dr.","Mb-Transfer ","Debit","-1425.00","2404.94"
"","2025-08-30","interest"," ","Credit","0.03","3829.94"
"","2025-08-29","deposit","Free Interac E-Transfer ","Credit","20.00","3829.91"
"","2025-08-21","customer transfer dr.","Mb-Transfer ","Debit","-505.00","3809.91"
"","2025-08-21","deposit","Free Interac E-Transfer ","Credit","428.96","4314.91"
"","2025-08-11","customer transfer dr.","Mb-Transfer ","Debit","-425.00","3885.95"
"","2025-08-07","deposit","Free Interac E-Transfer ","Credit","423.19","4310.95"
"","2025-07-31","service charge","Monthly Fees ","Debit","-10.00","3887.76"
"","2025-07-31","interest"," ","Credit","0.04","3897.76"
"","2025-07-31","customer transfer dr.","Mb-Transfer ","Debit","-1350.00","3897.72"
"","2025-07-26","customer transfer dr.","Mb-Transfer ","Debit","-450.00","5247.72"
"","2025-07-24","deposit","Free Interac E-Transfer ","Credit","423.19","5697.72"
"","2025-07-15","customer transfer dr.","Mb-Transfer ","Debit","-30.00","5274.53"
"","2025-07-15","deposit","Free Interac E-Transfer ","Credit","21.63","5304.53"
"","2025-07-10","deposit","Free Interac E-Transfer ","Credit","7.26","5282.90"
"","2025-07-10","customer transfer dr.","Mb-Transfer ","Debit","-423.19","5275.64"
"","2025-07-10","deposit","Free Interac E-Transfer ","Credit","423.19","5698.83"
"","2025-07-08","pos purchase","Compass Vending          Burna ","Debit","-1.75","5275.64"
"","2025-07-02","pos purchase","Compass Vending          Burna ","Debit","-149.25","5277.39"
"","2025-06-30","interest"," ","Credit","0.05","5426.64"
"","2025-06-30","customer transfer dr.","Mb-Transfer ","Debit","-1200.00","5426.59"
"","2025-06-30","deposit","Free Interac E-Transfer ","Credit","626.59","6626.59"
"","2025-06-26","customer transfer dr.","Mb-Transfer ","Debit","-771.13","6000.00"
"","2025-06-26","deposit","Free Interac E-Transfer ","Credit","771.13","6771.13"
"","2025-06-23","customer transfer dr.","Mb-Transfer ","Debit","-156.89","6000.00"
"","2025-06-12","customer transfer dr.","Mb-Transfer ","Debit","-815.00","6156.89"
"","2025-06-12","deposit","Free Interac E-Transfer ","Credit","814.14","6971.89"
"","2025-06-11","customer transfer dr.","Mb-Transfer ","Debit","-35.00","6157.75"
"","2025-06-09","abm deposit"," ","Credit","600.00","6192.75"
"","2025-06-02","deposit","Free Interac E-Transfer ","Credit","996.02","5592.75"
"","2025-06-02","customer transfer cr.","Mb-Transfer ","Credit","4200.00","4596.73"
"","2025-05-30","withdrawal","Free Interac E-Transfer ","Debit","-260.00","396.73"
"","2025-05-29","deposit","Free Interac E-Transfer ","Credit","656.73","656.73"
"","2025-05-08","deposit"," ","Credit","0.00","0.00"
