Filter,Date,Description,Sub-description,Type of Transaction,Amount,Balance
"Custom filters (select dates and amounts), From date=2025-05-08, To date=2025-09-16","2025-09-15","bill payment","Koodo Mobile ","Debit","-28.00","4063.93"
"","2025-09-15","pos purchase","Apos Subway 56519        Burna ","Debit","-11.54","4091.93"
"","2025-09-15","pos purchase","Apos Save On Foods 2     Burna ","Debit","-4.50","4103.47"
"","2025-09-15","pos purchase","Apos Mr. Shawarma Ro     Richm ","Debit","-9.82","4107.97"
"","2025-09-15","pos purchase","Apos Dollarama # 716     Vanco ","Debit","-3.26","4117.79"
"","2025-09-15","pos purchase","Apos Thriftique          Vanco ","Debit","-3.36","4121.05"
"","2025-09-13","pos purchase","Apos Nike Metrotown      Burna ","Debit","-148.68","4124.41"
"","2025-09-13","pos purchase","Apos Walmart Store #     Burna ","Debit","-9.13","4273.09"
"","2025-09-13","pos purchase","Apos Hungry Guys Kit     Vanco ","Debit","-20.71","4282.22"
"","2025-09-12","pos purchase","Apos Hungry Guys Kit     Vanco ","Debit","-21.20","4302.93"
"","2025-09-12","pos purchase","Apos Tst-Jerusalem S     Vanco ","Debit","-15.70","4324.13"
"","2025-09-12","payroll deposit","Snowbank Brands ","Credit","513.03","4339.83"
"","2025-09-11","pos purchase","Apos London Drugs 02     Vanco ","Debit","-2.95","3826.80"
"","2025-09-11","pos purchase","Apos Freshslice Pizz     Vanco ","Debit","-4.62","3829.75"
"","2025-09-11","pos purchase","Apos Fresh Donair        Vanco ","Debit","-14.69","3834.37"
"","2025-09-10","pos purchase","Apos Costco Wholesal     Vanco ","Debit","-4.35","3849.06"
"","2025-09-10","pos purchase","Opos 7.18 Name-Cheap.Com*+1323 ","Debit","-10.21","3853.41"
"","2025-09-10","pos purchase","Opos 5.60 Openai         +1415 ","Debit","-7.96","3863.62"
"","2025-09-10","pos purchase","Apos Bbq Chicken And     Vanco ","Debit","-14.48","3871.58"
"","2025-09-09","pos purchase","Apos Ins Market          Vanco ","Debit","-5.93","3886.06"
"","2025-09-09","pos purchase","Apos Freshslice Pizz     Vanco ","Debit","-2.31","3891.99"
"","2025-09-09","pos purchase","Apos Subway 13017        Vanco ","Debit","-13.85","3894.30"
"","2025-09-09","pos purchase","Apos London Drugs 02     Vanco ","Debit","-11.54","3908.15"
"","2025-09-08","pos purchase","Apos Dollarama # 818     Vanco ","Debit","-1.69","3919.69"
"","2025-09-08","customer transfer cr.","Mb-Transfer ","Credit","424.00","3921.38"
"","2025-09-08","pos purchase","Apos Hungry Guys Kit     Vanco ","Debit","-37.48","3497.38"
"","2025-09-06","pos purchase","Apos The Old Spaghet     Vanco ","Debit","-25.30","3534.86"
"","2025-09-05","pos purchase","Apos Hungry Guys Kit     Vanco ","Debit","-25.91","3560.16"
"","2025-09-05","pos purchase","Apos Hungry Guys Kit     Vanco ","Debit","-24.38","3586.07"
"","2025-09-05","pos purchase","Apos Ls Konbiniya Ja     Vanco ","Debit","-4.49","3610.45"
"","2025-09-05","pos purchase","Apos Subway 47663        Vanco ","Debit","-6.29","3614.94"
"","2025-09-05","pos purchase","Apos Mcdonald'S #402     Vanco ","Debit","-3.98","3621.23"
